,text_lenght,links,lang_links,titles,sections,back_links,categories
797,310,58,0,28,3,26,8
798,4420,121,1,11,7,96,38
799,7248,285,7,20,5,326,13
800,11372,178,6,18,4,116,11
801,11850,188,8,7,7,114,15
802,790,122,1,17,3,92,5
803,1566,68,1,13,4,67,8
804,1383,32,18,12,4,99,8
805,1512,27,0,16,2,3,4
806,836,17,6,8,2,36,5
807,52239,349,37,10,15,2,18
808,291,34,12,14,2,4,10
809,14681,195,7,10,8,139,10
810,367,7,0,8,0,7,5
811,0,0,0,24,0,0,0
812,3555,82,1,15,3,74,11
813,8525,231,2,12,5,42,10
814,712,22,20,5,1,95,4
815,339,38,10,8,0,25,7
816,4958,117,10,19,4,151,10
817,6170,206,0,26,5,220,13
818,212,22,1,28,0,4,12
819,99,21,3,19,0,2,8
820,1125,30,3,15,2,31,7
821,5218,64,17,37,5,5,27
822,897,43,0,28,0,36,10
823,1707,151,0,16,6,119,7
824,2238,107,5,12,7,86,16
825,411,39,6,15,0,9,10
826,7914,72,3,43,6,10,10
827,4906,63,12,12,6,60,30
828,10440,165,0,22,7,88,21
829,2089,68,3,12,5,33,18
830,0,0,0,19,0,0,0
831,2065,37,22,19,3,9,8
832,638,174,3,15,4,180,15
